ticker,date,open,high,low,close,volume
DIS,2023-01-03,86.78,87.77,85.63,86.77,14997142.0
DIS,2023-01-04,87.8,90.55,87.16,89.78,14957213.0
DIS,2023-01-05,89.46,90.28,88.31,89.72,11622620.0
DIS,2023-01-06,90.46,92.49,89.12,91.72,9828145.0
DIS,2023-01-09,92.23,93.5,91.25,92.57,11675842.0
DIS,2023-01-10,92.08,93.44,91.62,93.36,6914633.0
DIS,2023-01-11,93.72,94.35,92.85,94.13,8757251.0
DIS,2023-01-12,96.3,98.43,95.37,97.61,19764324.0
DIS,2023-01-13,97.18,97.4,95.81,97.2,12230196.0
DIS,2023-01-17,98.12,98.79,96.8,97.71,14914197.0
DIS,2023-01-18,98.08,98.93,96.52,96.84,11384536.0
DIS,2023-01-19,95.92,97.25,94.92,96.88,10973553.0
DIS,2023-01-20,98.14,101.39,97.1,101.28,14549879.0
DIS,2023-01-23,101.09,103.75,100.72,103.49,11479075.0
DIS,2023-01-24,103.19,106.24,99.8,103.8,8606723.0
DIS,2023-01-25,102.76,105.96,101.98,105.92,10008035.0
DIS,2023-01-26,105.97,107.56,105.37,107.5,9204417.0
DIS,2023-01-27,107.06,108.38,106.96,107.34,10249678.0
DIS,2023-01-30,106.06,106.77,105.28,105.39,8548547.0
DIS,2023-01-31,105.38,106.52,105.25,106.29,8251663.0
DIS,2023-02-01,106.3,107.74,104.7,107.19,9975481.0
DIS,2023-02-02,108.47,111.33,107.49,111.01,13093205.0
DIS,2023-02-03,109.27,110.94,108.17,108.51,12472478.0
DIS,2023-02-06,107.97,108.23,106.33,107.67,11956540.0
DIS,2023-02-07,107.1,109.92,106.66,109.43,10843984.0
DIS,2023-02-08,110.0,111.13,108.09,109.58,27719920.0
DIS,2023-02-09,115.84,115.98,107.61,108.16,46137152.0
DIS,2023-02-10,106.76,107.54,105.01,105.86,15565987.0
DIS,2023-02-13,105.9,106.09,104.35,105.46,12341484.0
DIS,2023-02-14,104.62,106.24,103.62,105.46,10768102.0
DIS,2023-02-15,104.89,107.07,104.5,107.04,8163490.0
DIS,2023-02-16,105.35,105.82,103.5,103.63,9479922.0
DIS,2023-02-17,102.83,103.6,101.68,103.02,9492184.0
DIS,2023-02-21,101.35,101.53,99.63,99.89,10648205.0
DIS,2023-02-22,99.13,100.36,98.89,99.48,9885101.0
DIS,2023-02-23,99.25,99.85,97.41,99.53,10974753.0
DIS,2023-02-24,97.33,98.23,96.76,98.1,8523000.0
